[2025-09-01 14:16:04,683] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:16:05,785] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:17:41,096] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:17:43,371] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:18:07,551] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:18:09,202] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:18:10,081] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:18:13,717] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
[2025-09-01 14:18:16,302] root - INFO - Model Recommendation Config: ModelRecommendationConfig(book_name_serialized_objects='artifact\\serialized_objects\\book_names.pkl', book_pivot_serialized_objects='artifact\\serialized_objects\\book_pivot.pkl', final_rating_serialized_objects='artifact\\serialized_objects\\final_rating.pkl', trained_model_path='artifact\\trained_model\\model.pkl')
